,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project,Example Project
10/9/90 0:45,0,0,0,0,17.3102613,17.34199299,14.99312949,15.0309143,-0.006868686,0.007324449,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:50,0,0,0,0,17.30305999,17.28575615,15.1967121,15.23765267,0.004647057,-0.007585049,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 0:55,0,0,0,0,17.23759078,17.18149581,14.8498321,15.09123662,-0.005976614,0.000470717,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:00,0,0,0,0,17.13136744,17.11903646,14.74061352,15.09326125,-0.000770753,-0.004769721,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:05,0,0,0,0,17.07128462,17.07321348,14.74529238,14.96600773,-0.001917784,-0.012480407,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:10,0,0,0,0,16.92477728,16.94720694,14.74137919,14.77390247,-0.002394664,-0.00831949,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:15,0,0,0,0,16.91052945,16.87367655,14.71333754,14.69920867,0.023373188,-0.010731892,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:20,0,0,0,0,16.82568905,16.79172823,14.78292883,14.50262382,0.000626343,0.010576697,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:25,0,0,0,0,16.73885365,16.71066276,14.52834369,14.57988937,0.002501005,0.01391671,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:30,0,0,0,0,16.60259238,16.60356862,14.49751403,14.57327658,0.000195322,0.009977328,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:35,0,0,0,0,16.52269576,16.48885558,14.30966312,14.23752199,-0.001658496,0.017682186,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:40,0,0,0,0,16.4384819,16.3915182,14.23152616,14.22732508,-0.002618478,-0.002780409,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:45,0,0,0,0,16.30558679,16.37129339,14.14686143,14.25774133,-0.00478032,-0.003106208,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:50,0,0,0,0,16.27467106,16.22161012,13.95670573,14.06016496,-0.000597135,-0.007439016,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 1:55,0,0,0,0,16.15091745,16.13905632,13.92198375,14.19957507,-0.007602892,-0.00930307,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:00,0,0,0,0,16.08864869,16.0654893,13.7176128,13.87199832,0.004229785,-0.00414465,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:05,0,0,0,0,16.13365653,16.09002524,13.91974809,13.9027742,6.50E-05,-0.014465623,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:10,0,0,0,0,16.07571534,16.10354101,13.9271171,14.10808205,0.001614207,-0.003335711,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:15,0,0,0,0,16.10194152,16.06539103,13.98297134,13.94756966,-0.012198551,-0.009304574,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:20,0,0,0,0,16.09051188,16.08020138,13.79110962,13.95479426,0.0088211,-0.001412127,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:25,0,0,0,0,16.08568346,16.06779,13.94902175,13.95359706,0.004917623,-0.001238257,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:30,0,0,0,0,16.09763578,16.08861472,14.01499601,13.85826801,-0.001837999,-0.005538362,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:35,0,0,0,0,16.10521955,16.1292914,14.04653,13.97916743,0.001446158,0.000623556,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:40,0,0,0,0,16.09347868,16.11506711,13.79232854,13.6963053,-0.001808124,-0.001696147,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:45,0,0,0,0,16.05114805,16.08966895,13.81945524,13.97453027,-0.002969716,0.006766419,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:50,0,0,0,0,16.09970721,16.06071437,13.68858355,13.90340633,-0.003045416,-0.003880544,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 2:55,0,0,0,0,16.09159278,16.1167375,14.12873085,13.92076792,-0.0068085,-0.010104478,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:00,0,0,0,0,16.15472229,16.0729273,13.92312687,14.03993698,0.003386792,-0.013201948,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:05,0,0,0,0,16.14237339,16.10900049,13.93240497,13.85134093,-0.006838267,8.65E-06,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:10,0,0,0,0,16.08841497,16.10052704,14.04017873,13.98833029,-0.002688493,0.002076511,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:15,0,0,0,0,16.11833719,16.08306048,13.90412474,13.9248667,-0.013991754,-0.00479247,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:20,0,0,0,0,16.12065016,16.08172019,13.85875438,13.98364025,-0.002614217,-0.003525955,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:25,0,0,0,0,16.08853064,16.11010168,13.92798391,13.90713279,-0.002046261,0.004548084,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:30,0,0,0,0,16.11072041,16.11162642,13.88067178,14.04364575,-0.006111602,0.000385389,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:35,0,0,0,0,16.12877026,16.10179024,13.82097227,14.05257319,0.008295412,0.004975239,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:40,0,0,0,0,16.11342805,16.12432456,14.05064506,13.73995106,0.002819738,-0.003109276,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:45,0,0,0,0,16.16528509,16.11162243,14.00974422,14.03572715,0.002071953,-0.006841317,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:50,0,0,0,0,16.14931492,16.11125779,14.00506972,13.89569222,0.005212956,-0.00780533,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 3:55,0,0,0,0,16.14823286,16.15866032,13.87263553,13.85817965,-0.004671751,-0.002365741,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:00,0,0,0,0,16.10710851,16.07144486,13.710471,13.74339338,0.065880252,0.058422605,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:05,0,0,0,0,16.08369827,16.11425507,13.8638193,13.90412925,0.19284093,0.189838334,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:10,0,0,0,0,16.10221394,16.09623341,13.79845173,13.9929378,0.30896267,0.312084625,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:15,0,0,0,0,16.13682222,16.12990558,13.92037952,13.88346139,0.434356364,0.432089176,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:20,0,0,0,0,16.07655046,16.05450567,14.10624472,13.83019327,0.548803891,0.5568515,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:25,0,0,0,0,16.09267011,16.12849089,13.69476875,13.92901295,0.695519767,0.690515802,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:30,0,0,0,0,16.08513796,16.07681926,13.72571473,14.08077515,0.797044998,0.810783746,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:35,0,0,0,0,16.10246582,16.11512794,13.89703934,13.98145833,0.927267608,0.935302133,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:40,0,0,0,0,16.08611668,16.08115169,13.79158196,13.87373386,1.055034274,1.055678251,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:45,0,0,0,0,16.10327895,16.09333365,13.76436757,13.80825266,1.193072838,1.18507662,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:50,0,0,0,0,16.0604066,16.09696004,14.0177531,13.83421984,1.323982372,1.311209657,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 4:55,0,0,0,0,16.15075646,16.11862788,13.82895351,13.9886845,1.439212986,1.413150472,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:00,0,0,0,0,16.01035138,16.04359495,13.97552349,13.79921298,1.435869687,1.440922548,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:05,0,0,0,0,15.90064286,15.91661394,13.65289866,13.72914273,1.322796548,1.325451629,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:10,0,0,0,0,15.75149121,15.71607852,13.4743472,13.53553276,1.182528061,1.190470407,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:15,0,0,0,0,15.60354377,15.63251359,13.52625664,13.47625169,1.06678994,1.05868652,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:20,0,0,0,0,15.4685291,15.46130558,13.4417473,12.95594329,0.946762714,0.94623689,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:25,0,0,0,0,15.30547938,15.33509378,13.04613816,13.16577569,0.812746763,0.824646534,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:30,0,0,0,0,15.18645821,15.18881273,13.16491955,13.00922337,0.678635748,0.69433287,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:35,0,0,0,0,15.01506557,14.98719202,12.86595251,12.64551777,0.558164268,0.569139061,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:40,0,0,0,0,14.85746767,14.91003335,12.6342632,12.49333048,0.439431435,0.444794991,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:45,0,0,0,0,14.74590941,14.79729599,12.50540351,12.52212985,0.320946309,0.307730065,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:50,0,0,0,0,14.61837236,14.61211231,12.3691213,12.51860522,0.194709136,0.184379354,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 5:55,0,0,0,0,14.50198687,14.54150477,12.25721303,12.10691141,0.065933038,0.067559205,-8868,-150,-150,-150,-150,-150,-150,-150,-150
10/9/90 6:00,9.497577803,7.379464055,6.215364297,7.363308277,14.50456757,14.4958804,12.33904189,12.22682124,-0.010353099,0.000465619,52824.44429,6960.272444,4387.485294,6917.763765,5033.109916,8811.107122,5627.0044,5752.169802,7224.463741
10/9/90 6:05,30.23779254,29.65603686,23.05953574,21.58377673,14.8025469,14.8545212,12.63890852,12.5923686,-0.004159715,-0.007844601,162646.805,20331.98711,21574.25153,26329.56965,18656.54098,23857.54255,22801.78915,23452.62909,21885.96071
10/9/90 6:10,49.69451202,48.0242813,37.05337727,36.07186972,15.14706611,15.11725298,12.88071381,12.97539474,-0.006420579,-0.009488817,315954.6414,36414.52422,36612.78203,39143.93969,35790.7366,36536.84091,39083.52101,38094.75389,42076.51495
10/9/90 6:15,66.96334303,71.13154835,55.05246647,54.00640369,15.41725254,15.39509477,13.21382949,13.17681979,-0.005817784,-0.006298806,424148.3373,55942.4879,56335.69446,51789.56515,55801.39127,54400.88258,50931.08302,56445.24577,51061.13115
10/9/90 6:20,88.36104251,88.50860446,68.14490937,65.0282579,15.6536831,15.65374053,13.59196896,13.46299957,0.008712078,-0.014308041,542770.4649,66978.76126,66982.32213,69591.93245,66344.45175,69058.6253,71045.8819,70311.74859,68613.45383
10/9/90 6:25,103.3104589,103.5112117,79.73916191,78.14398502,15.98563694,15.9697017,13.73915133,13.57232976,0.012135379,-0.009441148,667700.7159,86296.24937,84608.77588,85177.88938,83180.41795,86976.63042,87529.95147,82320.2041,85768.31202
10/9/90 6:30,125.0484639,126.8425205,97.37217275,99.10618457,16.22966911,16.230006,13.9784005,13.87499997,0.014161835,-0.007645013,801208.9059,100552.5259,101386.9202,100476.955,95810.36393,100307.866,102646.0651,100846.0125,104508.2378
10/9/90 6:35,147.7887247,150.4245856,112.4791574,111.7723234,16.48397024,16.51253226,14.9799568,14.73113767,0.005404805,-0.002268541,920177.9934,115776.5437,118134.6985,116686.606,119631.6595,112741.5918,114136.6999,119568.0421,117862.264
10/9/90 6:40,169.6276634,165.3068686,125.6570357,126.5198625,16.81578286,16.81380142,18.12831501,18.03250815,-0.021046636,-0.004202442,1047082.926,130790.7059,133688.9558,136224.5091,134903.0211,132414.9607,130681.0868,131482.3419,132130.0916
10/9/90 6:45,185.4835491,185.6996114,142.634092,143.1872991,17.11831749,17.05781675,20.27079023,20.25584692,0.003249109,-0.003717257,1148806.807,147063.6538,146652.352,144007.0244,147026.1389,147521.3604,148056.8327,147708.6717,149124.1553
10/9/90 6:50,206.0680149,204.2065757,158.0630075,157.4709357,17.36402361,17.37913822,22.37396003,22.27125173,0.004739792,-0.002283319,1299413.845,165666.4099,165071.4177,163153.0023,161364.6691,160833.9505,164864.1476,162459.3471,163598.4011
10/9/90 6:55,225.0879353,223.2795863,172.0102244,176.1963985,17.66312465,17.64090302,24.55273086,24.53757162,-0.001323265,0.007286272,1391038.053,180038.5698,181177.7694,177394.0492,175684.2283,179225.0044,181133.5789,177652.9636,178743.9546
10/9/90 7:00,242.699511,244.7827449,184.6481635,188.7448326,17.84266459,17.82131462,25.97853196,25.92979306,0.005235924,0.000828244,1538378.397,197845.0791,196001.9758,189871.2565,191661.416,191787.5758,194441.1235,195488.9006,192553.1179
10/9/90 7:05,259.2589764,260.3190732,203.1589413,202.4331742,17.97910817,17.94943941,26.81784393,26.64001114,0.001867331,0.006603414,1673689.507,212617.5815,207124.8822,210267.4577,212997.6438,208189.4335,210007.3811,209474.3445,211905.429
10/9/90 7:10,277.8404851,280.8473468,218.6730606,217.9556684,18.00415831,18.06110035,27.32872863,27.55416561,0.000339569,-0.000681292,1774258.936,227678.473,230655.0135,225362.4666,225727.7592,226535.1371,223481.5462,227366.072,227058.7785
10/9/90 7:15,299.2588528,299.1628886,231.4185788,238.3693733,18.13094325,18.10537831,28.48139699,28.34158109,-0.008635747,0.011680164,1940219.895,241068.9313,244211.46,247093.5283,244369.3068,246370.3548,241651.6255,243526.2984,240992.1973
10/9/90 7:20,316.6112228,316.3344644,251.5082134,251.3520091,18.2051359,18.210923,29.12667996,28.9596213,-0.003444226,0.013293455,2045318.647,259332.4735,257415.6416,259538.3668,258626.7328,259065.4724,260232.345,258791.3519,257320.6583
10/9/90 7:25,337.9606804,333.4247724,264.3065658,266.3933842,18.318445,18.30660123,29.95669057,30.07658163,0.000115899,0.012235191,2171599.383,273545.7,273541.7042,274677.6401,278299.5509,276199.8638,275526.4117,273992.8117,272029.1236
10/9/90 7:30,353.850415,350.2425181,282.6554223,279.597132,18.32275373,18.37586878,30.88133792,30.81895049,0.012751322,0.002363693,2301370.219,293555.2175,288908.8919,291054.097,294315.603,293272.593,291982.5377,288980.9869,291493.2261
10/9/90 7:35,369.0829331,371.4527523,296.9152095,297.8160322,18.51400154,18.50160189,31.31528292,31.60831901,0.002060364,-0.012283679,2430043.717,305880.9192,309369.2159,310324.0476,310068.9785,307608.5415,309947.874,307406.3603,307520.3441
10/9/90 7:40,391.100007,391.6351203,312.0142686,314.9130762,18.60519088,18.58499973,32.32688376,32.42741367,-0.012693355,0.015010023,2571480.656,326719.0466,325292.9431,324561.3015,325249.4538,326796.3181,324610.1311,325027.4106,323787.5256
10/9/90 7:45,412.3138874,414.1379924,327.3728126,330.5419312,18.65519151,18.64717316,33.20971448,33.14261909,0.005644204,0.005736797,2688269.859,340640.1349,338367.5057,342839.5019,342743.23,340031.664,340290.8009,344464.2954,338206.1237
10/9/90 7:50,432.7810894,425.0187684,344.8420125,340.1646325,18.80775505,18.73750904,33.76691165,33.76856982,0.01061696,-0.000779463,2839397.83,360112.2769,357442.2572,358156.7079,357380.2465,356525.6031,357648.4336,354806.6892,360063.8652
10/9/90 7:55,448.9112722,448.8041591,359.662193,360.3773629,18.85131943,18.8645822,34.77202288,34.6699258,0.003088103,-0.01289904,2983041.218,372110.9398,374096.9839,374332.0759,374600.4427,378893.4134,374521.9652,375247.1671,373441.7808
10/9/90 8:00,464.8141813,461.7974194,375.3131969,376.0302265,18.98678949,18.9871565,35.44578064,35.496818,-0.01409325,-0.00675921,3073284.48,390275.0038,388798.1708,386863.602,390758.6074,391213.7375,389202.9208,386447.7936,386003.4627
10/9/90 8:05,484.5982999,482.0095149,387.7206501,389.2102107,19.15249136,19.14932576,36.32662638,36.45217606,-0.006383342,0.007273645,3205087.899,402665.0483,403577.9491,402925.7574,406771.0428,399843.3969,402348.8839,402418.795,403207.0406
10/9/90 8:10,504.9212327,502.1337732,406.4044029,406.7292958,19.21803777,19.23567989,37.45381997,37.32580743,-0.003858893,-0.013188431,3315495.395,420048.3919,420600.0015,417466.7716,421455.9294,419562.2864,420419.802,418321.0623,418996.7713
10/9/90 8:15,523.3782812,522.0885483,421.7954527,424.979518,19.41780597,19.39667129,38.05492764,38.05684505,-0.004256029,0.012006264,3412251.567,429734.387,431062.876,435050.216,434416.2991,431533.099,436654.6773,434090.7061,433601.0531
10/9/90 8:20,534.8452797,534.8127229,438.8050732,436.0571418,19.55688797,19.58832747,38.90209785,38.97479824,-0.003498862,0.014314978,3561032.912,448604.5392,446273.6723,448988.7291,446344.6632,448851.4495,445677.6279,444202.2801,447115.474
10/9/90 8:25,562.2463488,553.7288076,455.3757291,454.1193521,19.62848705,19.64387023,39.9799699,39.73190441,-0.004490884,0.006476662,3668089.282,464943.5527,462725.0061,466293.9788,463235.1229,462198.7228,462684.6698,459159.1307,463503.7024
10/9/90 8:30,539.6868864,440.9470988,603.5074643,292.2240452,19.77164492,19.79115301,40.55843946,40.6790064,0.01066443,0.011796642,3783301.718,479338.911,475065.652,477597.3277,476339.9708,477385.4977,478879.4745,476152.6439,476950.1812
10/9/90 8:35,933.1481721,437.5720294,709.3774607,419.5168508,19.9784624,19.98724341,41.66851154,41.37411894,0.018794919,6.34E-05,3862364.54,492283.5685,492461.9117,492122.5592,489309.88,493919.0782,491156.9728,492074.2998,491065.3039
10/9/90 8:40,672.8759196,354.8394816,744.1618871,497.7454748,20.1431895,20.13249823,42.63908159,42.51810689,-0.003288887,0.005339522,4001399.297,505989.326,503877.6515,506764.0142,504200.362,507208.9122,506342.0302,505298.6676,508791.3906
10/9/90 8:45,630.9656311,628.7526346,518.9637293,515.5003053,20.21637163,20.24411206,43.30880192,43.37285198,0.005112417,-0.003556097,4115809.871,523907.0137,518616.1845,522773.027,521159.8561,519175.763,522688.4886,518485.3215,522193.7165
10/9/90 8:50,649.6082634,648.0388812,534.8236849,535.9227054,20.35592812,20.37242304,44.06847624,44.31935849,0.004382516,-0.000274941,4228857.679,532806.1899,536196.7436,537178.6921,537190.6046,536489.142,534387.6394,533731.8302,532935.0861
10/9/90 8:55,669.729115,669.2071721,545.6053812,551.1423089,20.51828777,20.51413563,44.92490446,45.16816582,0.003730746,-0.001600995,4351296.272,550672.1006,549852.9301,547508.2552,551596.0916,548482.4022,552475.1211,550451.071,549605.5164
10/9/90 9:00,683.8012252,686.3678635,565.0021865,561.1469723,20.65636961,20.70488098,45.94634665,45.80938391,-0.001603322,-0.002140734,4458775.136,561413.6503,560420.6513,566549.3634,561545.6547,564189.6876,561644.6899,563179.2202,560526.0853
10/9/90 9:05,701.8969023,703.9958434,577.7904902,575.8475741,20.86579137,20.87307757,46.7518838,46.8121329,-0.006291886,-0.000730317,4537618.434,573109.2664,575119.8093,575027.6922,575227.7479,573215.767,576376.1824,575327.9468,574841.2398
10/9/90 9:10,712.8118949,720.1164167,590.4000317,591.2959215,21.06918331,21.0689565,47.43459338,47.28573164,-0.005144518,-0.001383799,4561825.132,583739.6891,586641.3024,588319.2824,583741.1173,586515.1978,584903.2084,586297.1018,586964.4179
10/9/90 9:15,735.2031657,730.5454001,604.4639109,608.0281853,21.23827588,21.19442,48.33435676,48.4175434,0.006642715,-0.004292159,4674184.52,595233.4565,595162.5356,596464.318,596531.1636,595957.3576,594444.6753,592812.4893,594331.0247
10/9/90 9:20,747.762248,750.1995453,618.3387811,618.5151174,21.37259134,21.44544796,49.17846837,49.03386987,0.009281107,-0.003825656,4779449.427,604740.3179,605384.0141,606495.9215,603462.5131,605897.7914,607312.2681,606546.7254,606898.6324
10/9/90 9:25,766.4529466,766.0544976,631.3041602,631.8086065,21.56352123,21.59536829,50.15298842,49.93571376,0.001172416,-0.006437516,4858070.976,616105.0267,614796.8381,619266.8398,616380.368,615883.7383,620852.7024,617308.0273,616511.9379
10/9/90 9:30,780.7281567,779.1514099,646.0683335,646.7188773,21.77257759,21.7808984,50.72884898,50.88908011,-0.00759358,-0.006092145,4940424.743,627605.8629,628702.0101,628581.6405,627728.2007,627780.3808,631277.5663,625911.1153,627006.8883
10/9/90 9:35,796.3967644,796.0520113,661.0159797,662.3888456,21.95454937,21.96582355,51.54074222,51.7826078,-0.000383802,0.008553458,5029118.729,639890.2763,640840.2222,641386.2448,638667.5983,640712.7534,638160.0724,637490.6557,635325.163
10/9/90 9:40,814.7620319,817.4152484,676.726923,675.47114,22.19202216,22.15993449,52.5005562,52.41660472,0.003414958,-0.012983029,5116465.519,649939.4183,648949.6742,647839.1415,649646.2669,648453.7667,651213.2576,652562.2857,651753.3556
10/9/90 9:45,830.8110034,824.6081484,687.4320921,688.8951355,22.36257129,22.32474495,53.31094218,53.20404253,0.00167104,-0.004487549,5195460.513,663441.1527,657937.0413,662269.286,657824.3241,661032.4923,658500.178,656545.382,661448.6336
10/9/90 9:50,845.4034809,847.3282707,702.1509896,705.2555016,22.52900434,22.48603163,53.96521124,54.12359267,0.007619302,-0.00349439,5292107.455,671481.7097,671008.5419,671713.12,671709.2393,672311.9616,673911.7472,672678.7981,669877.9673
10/9/90 9:55,863.8491806,862.2342112,715.4491732,716.3512625,22.68132335,22.71152363,54.95749048,54.99192611,0.01359915,0.00369959,5357297.702,684284.8909,686363.8738,681031.9267,681802.5385,680593.0973,681050.3334,682697.4819,682336.263
10/9/90 10:00,872.1682493,875.7282326,726.7265675,727.1161546,22.79607855,22.83154902,55.70019791,55.50656634,0.006460052,-0.004302961,5412504.667,689842.7919,688943.5656,687514.8489,689266.0547,690368.9016,687936.6494,691915.8301,688765.7469
10/9/90 10:05,878.2018813,875.6461182,728.8027332,732.8501315,22.90989943,22.96197629,55.50259472,55.62264271,0.004857698,-0.003402646,5435062.036,690947.1375,690073.0677,694586.0742,692280.8316,693849.139,689611.5569,690847.187,692326.3759
10/9/90 10:10,888.9371775,882.0658487,733.2961875,735.2129408,23.07127409,23.02536761,55.94740231,55.86074905,-0.005313995,0.001547614,5456919.731,694015.1112,696786.5926,695918.5218,692536.9843,696204.3836,693475.6502,694866.35,693141.4031
10/9/90 10:15,887.1876121,882.8098963,734.1347862,740.6490946,23.1030434,23.1171821,56.35711018,56.29985368,-0.000232614,-0.002722871,5495065.95,700502.5513,694823.1762,698021.8894,697078.6831,699925.9025,696591.125,694444.193,699107.7383
10/9/90 10:20,891.8861213,896.9786541,740.9732628,743.2805973,23.20904225,23.2232815,56.73665712,56.46302173,0.004913658,-0.002103826,5497216.491,697740.91,702640.0957,698692.5705,697916.3472,701432.9204,701998.4345,704527.1037,699687.6762
10/9/90 10:25,892.4213879,898.1090269,745.3707902,742.0075419,23.2874771,23.27418436,57.04247808,56.95635631,-0.002026332,0.001049124,5536049.007,700618.4533,704469.2261,701273.3787,702277.9879,700912.5022,701220.9736,704407.2529,704021.3748
10/9/90 10:30,902.1690077,899.7501849,747.5466612,747.0419799,23.44237249,23.44015982,56.942245,57.24543361,0.016081783,-0.003830457,5558113.003,702710.236,702926.84,706414.7333,702683.2759,704885.8724,705841.5001,704687.1003,703145.8707
10/9/90 10:35,906.0789393,903.0879505,749.8674375,756.4400491,23.48991395,23.44714939,57.32993339,57.43318318,-0.006615766,0.000884055,5581032.085,708140.4996,705647.2276,708870.6808,707758.9052,709107.6061,707655.8483,706294.5725,706623.4923
10/9/90 10:40,910.1769338,907.6473136,755.5028574,761.3374794,23.54377273,23.57920846,57.635621,57.62355896,0.002515215,0.013779103,5596102.076,708756.3314,712082.2759,709240.0053,710264.8079,711251.6376,709047.6096,708857.9657,709779.4097
